File				lomuto (ns)	hoare (ns)	diff(ns)	percentage (hoare/lomuto)
arr_1000/arr_0.txt-4,         	3160900		234296		2926604		7.412319276
arr_1000/arr_1.txt-4,         	2841322		227956		2613366		8.022885122
arr_1000/arr_2.txt-4,         	2863726		234416		2629310		8.18569933
arr_1000/arr_3.txt-4,         	2857062		234911		2622151		8.222117686
arr_1000/arr_4.txt-4,         	2908382		253986		2654396		8.732896848
arr_1000/arr_5.txt-4,         	2876566		417519		2459047		14.51449402
arr_1000/arr_6.txt-4,         	3259324		553964		2705360		16.99628512
arr_1000/arr_7.txt-4,         	3006942		282492		2724450		9.394660755
arr_1000/arr_8.txt-4,         	3813948		255348		3558600		6.695109634
arr_1000/arr_9.txt-4,         	4999040		263160		4735880		5.264210728
arr_1000/arr_10.txt-4,        	3777812		246363		3531449		6.521314454
arr_1000/arr_11.txt-4,        	2835728		243183		2592545		8.575681448
arr_1000/arr_12.txt-4,        	2809688		256716		2552972		9.136815191
arr_1000/arr_13.txt-4,        	2862204		239354		2622850		8.362576532
arr_1000/arr_14.txt-4,        	3167634		236104		2931530		7.453638899
arr_1000/arr_15.txt-4,        	4797144		294136		4503008		6.131481565
arr_1000/arr_16.txt-4,        	3207102		235134		2971968		7.331665784
arr_1000/arr_17.txt-4,        	5312614		253284		5059330		4.767596517
arr_1000/arr_18.txt-4,        	5163276		231539		4931737		4.484342886
arr_1000/arr_19.txt-4,        	3061034		240097		2820937		7.843656751
arr_1000/arr_20.txt-4,        	2996260		246976		2749284		8.242809369
arr_1000/arr_21.txt-4,        	3133804		244522		2889282		7.802721549
arr_1000/arr_22.txt-4,        	2878792		243159		2635633		8.446563698
arr_1000/arr_23.txt-4,        	3323116		236526		3086590		7.117596858
arr_1000/arr_24.txt-4,        	2965988		240494		2725494		8.108394235
arr_1000/arr_25.txt-4,        	2953774		231304		2722470		7.83079545
arr_1000/arr_26.txt-4,        	2956350		243546		2712804		8.238063829
arr_1000/arr_27.txt-4,        	3012858		228339		2784519		7.57881719
arr_1000/arr_28.txt-4,        	3797710		233365		3564345		6.144887314
arr_1000/arr_29.txt-4,        	3314258		226363		3087895		6.829975216
arr_1000/arr_30.txt-4,        	3097356		226720		2870636		7.319791461
arr_1000/arr_31.txt-4,        	2893378		223253		2670125		7.715998394
arr_1000/arr_32.txt-4,        	3046548		223896		2822652		7.349170274
arr_1000/arr_33.txt-4,        	3032430		224045		2808385		7.388299153
arr_1000/arr_34.txt-4,        	3035702		226850		2808852		7.472736125
arr_1000/arr_35.txt-4,        	2960798		233629		2727169		7.89074432
arr_1000/arr_36.txt-4,        	2958752		229318		2729434		7.750497507
arr_1000/arr_37.txt-4,        	2915996		223761		2692235		7.673570197
arr_1000/arr_38.txt-4,        	2980186		237910		2742276		7.983058776
arr_1000/arr_39.txt-4,        	2846180		245723		2600457		8.633431477
arr_1000/arr_40.txt-4,        	2795396		276597		2518799		9.894734056
arr_1000/arr_41.txt-4,        	2820974		243162		2577812		8.619788768
arr_1000/arr_42.txt-4,        	2967582		236924		2730658		7.98373895
arr_1000/arr_43.txt-4,        	3349748		290619		3059129		8.675846661
arr_1000/arr_44.txt-4,        	3112536		240440		2872096		7.724890572
arr_1000/arr_45.txt-4,        	2909686		256011		2653675		8.798578266
arr_1000/arr_46.txt-4,        	3013062		280681		2732381		9.315473761
arr_1000/arr_47.txt-4,        	2852792		264657		2588135		9.277122202
arr_1000/arr_48.txt-4,        	2966310		273093		2693217		9.20648887
arr_1000/arr_49.txt-4,        	2879468		222249		2657219		7.718404928
arr_1000/arr_50.txt-4,        	3013402		254615		2758787		8.44942029
arr_1000/arr_51.txt-4,        	2848364		221386		2626978		7.77239145
arr_1000/arr_52.txt-4,        	2830382		268223		2562159		9.476565354
arr_1000/arr_53.txt-4,        	3101370		274018		2827352		8.835385652
arr_1000/arr_54.txt-4,        	2800038		263083		2536955		9.395693916
arr_1000/arr_55.txt-4,        	2812054		228356		2583698		8.120612193
arr_1000/arr_56.txt-4,        	2802178		235514		2566664		8.404676648
arr_1000/arr_57.txt-4,        	2797346		247122		2550224		8.834159235
arr_1000/arr_58.txt-4,        	2803880		256254		2547626		9.139264163
arr_1000/arr_59.txt-4,        	2803514		250620		2552894		8.939495219
arr_1000/arr_60.txt-4,        	2801118		258758		2542360		9.237668674
arr_1000/arr_61.txt-4,        	2797672		264924		2532748		9.469444595
arr_1000/arr_62.txt-4,        	2798260		336805		2461455		12.03622966
arr_1000/arr_63.txt-4,        	2802936		234092		2568844		8.351671248
arr_1000/arr_64.txt-4,        	2792886		244392		2548494		8.750518281
arr_1000/arr_65.txt-4,        	2806496		224557		2581939		8.001329772
arr_1000/arr_66.txt-4,        	2808428		227664		2580764		8.106456708
arr_1000/arr_67.txt-4,        	2794438		225747		2568691		8.078440101
arr_1000/arr_68.txt-4,        	2795910		234138		2561772		8.374303894
arr_1000/arr_69.txt-4,        	2799264		230721		2568543		8.242202236
arr_1000/arr_70.txt-4,        	2818522		228983		2589539		8.124222554
arr_1000/arr_71.txt-4,        	2800528		231799		2568729		8.276974913
arr_1000/arr_72.txt-4,        	2801514		224053		2577461		7.997568458
arr_1000/arr_73.txt-4,        	2796822		229432		2567390		8.203310758
arr_1000/arr_74.txt-4,        	2797502		235792		2561710		8.428662428
arr_1000/arr_75.txt-4,        	2795412		228971		2566441		8.190957183
arr_1000/arr_76.txt-4,        	2797760		245980		2551780		8.792033627
arr_1000/arr_77.txt-4,        	2800854		229860		2570994		8.206782646
arr_1000/arr_78.txt-4,        	2793184		230461		2562723		8.25083489
arr_1000/arr_79.txt-4,        	2790582		243029		2547553		8.708900151
arr_1000/arr_80.txt-4,        	2800710		225686		2575024		8.058170964
arr_1000/arr_81.txt-4,        	2801278		224741		2576537		8.022802449
arr_1000/arr_82.txt-4,        	2791072		234676		2556396		8.408095527
arr_1000/arr_83.txt-4,        	2809728		222911		2586817		7.933543745
arr_1000/arr_84.txt-4,        	2800176		224320		2575856		8.010925028
arr_1000/arr_85.txt-4,        	2796364		223886		2572478		8.006325357
arr_1000/arr_86.txt-4,        	2823132		225142		2597990		7.974901634
arr_1000/arr_87.txt-4,        	2800818		224618		2576200		8.019728522
arr_1000/arr_88.txt-4,        	2794090		223957		2570133		8.015382468
arr_1000/arr_89.txt-4,        	2803638		225023		2578615		8.026107507
arr_1000/arr_90.txt-4,        	2799182		236746		2562436		8.457685138
arr_1000/arr_91.txt-4,        	2804004		233367		2570637		8.322634347
arr_1000/arr_92.txt-4,        	2801306		227450		2573856		8.119427153
arr_1000/arr_93.txt-4,        	2801662		240283		2561379		8.576444982
arr_1000/arr_94.txt-4,        	2790974		241111		2549863		8.638955433
arr_1000/arr_95.txt-4,        	2795430		242091		2553339		8.660241895
arr_1000/arr_96.txt-4,        	2788562		233862		2554700		8.386473028
arr_1000/arr_97.txt-4,        	2794300		225248		2569052		8.060981283
arr_1000/arr_98.txt-4,        	2797230		227423		2569807		8.130293183
arr_1000/arr_99.txt-4,        	2795646		226010		2569636		8.084356889
AVG				3009411.56	245859.9	2763551.66	8.278920914
				
arr_10000/arr_0.txt-4,       	90885600	18866380	72019220	20.75838197
arr_10000/arr_1.txt-4,       	91345670	18651300	72694370	20.41837342
arr_10000/arr_2.txt-4,       	95647070	19855940	75791130	20.75959044
arr_10000/arr_3.txt-4,       	91472260	18622400	72849860	20.35852181
arr_10000/arr_4.txt-4,       	95361430	18709320	76652110	19.61937861
arr_10000/arr_5.txt-4,       	91574850	19521510	72053340	21.31754516
arr_10000/arr_6.txt-4,       	98705690	18948230	79757460	19.19669474
arr_10000/arr_7.txt-4,       	147713300	18565630	129147670	12.56869219
arr_10000/arr_8.txt-4,       	104329440	18439870	85889570	17.67465636
arr_10000/arr_9.txt-4,       	93900700	18656240	75244460	19.8680521
arr_10000/arr_10.txt-4,      	92857160	18493310	74363850	19.91586863
arr_10000/arr_11.txt-4,      	92007830	18728530	73279300	20.35536541
arr_10000/arr_12.txt-4,      	92787360	18749180	74038180	20.20661004
arr_10000/arr_13.txt-4,      	91440990	18405570	73035420	20.12835819
arr_10000/arr_14.txt-4,      	91369560	18598460	72771100	20.35520364
arr_10000/arr_15.txt-4,      	91274910	20237920	71036990	22.17248968
arr_10000/arr_16.txt-4,      	91452080	19511230	71940850	21.33492207
arr_10000/arr_17.txt-4,      	91312990	19256580	72056410	21.08854392
arr_10000/arr_18.txt-4,      	91114220	19452930	71661290	21.35004832
arr_10000/arr_19.txt-4,      	91317550	18696750	72620800	20.47443235
arr_10000/arr_20.txt-4,      	91163070	18935480	72227590	20.77099861
arr_10000/arr_21.txt-4,      	91260440	18945230	72315210	20.75952077
arr_10000/arr_22.txt-4,      	91253070	18999720	72253350	20.82091046
arr_10000/arr_23.txt-4,      	91119860	20080720	71039140	22.03769848
arr_10000/arr_24.txt-4,      	91099790	18947170	72152620	20.7982587
arr_10000/arr_25.txt-4,      	91115430	18952570	72162860	20.80061522
arr_10000/arr_26.txt-4,      	91374920	18892640	72482280	20.67595791
arr_10000/arr_27.txt-4,      	91274790	19107120	72167670	20.93362253
arr_10000/arr_28.txt-4,      	91876720	20054910	71821810	21.82806482
arr_10000/arr_29.txt-4,      	92223310	19267540	72955770	20.89226682
arr_10000/arr_30.txt-4,      	91545070	20506480	71038590	22.40041982
arr_10000/arr_31.txt-4,      	94448570	21000270	73448300	22.23460874
arr_10000/arr_32.txt-4,      	93233630	18933870	74299760	20.30798329
arr_10000/arr_33.txt-4,      	96660570	19330220	77330350	19.99804057
arr_10000/arr_34.txt-4,      	92637010	18959390	73677620	20.46632334
arr_10000/arr_35.txt-4,      	93069330	18930170	74139160	20.33985847
arr_10000/arr_36.txt-4,      	103328230	19082100	84246130	18.46746044
arr_10000/arr_37.txt-4,      	112627750	18662580	93965170	16.57014368
arr_10000/arr_38.txt-4,      	94236260	18915240	75321020	20.07214633
arr_10000/arr_39.txt-4,      	92979910	18795300	74184610	20.21436674
arr_10000/arr_40.txt-4,      	92613450	24085070	68528380	26.00601748
arr_10000/arr_41.txt-4,      	94592740	18723810	75868930	19.79413008
arr_10000/arr_42.txt-4,      	94132110	18951500	75180610	20.13287496
arr_10000/arr_43.txt-4,      	97832750	19651480	78181270	20.08681142
arr_10000/arr_44.txt-4,      	92515410	18835000	73680410	20.3587705
arr_10000/arr_45.txt-4,      	94231090	18703930	75527160	19.849001
arr_10000/arr_46.txt-4,      	93241250	18479660	74761590	19.81918947
arr_10000/arr_47.txt-4,      	92899870	18785150	74114720	20.22085714
arr_10000/arr_48.txt-4,      	92918100	18615740	74302360	20.03456808
arr_10000/arr_49.txt-4,      	94225200	19045540	75179660	20.21278809
arr_10000/arr_50.txt-4,      	92756230	18906010	73850220	20.38246919
arr_10000/arr_51.txt-4,      	93008490	18472210	74536280	19.8607783
arr_10000/arr_52.txt-4,      	93042270	18688120	74354150	20.08562345
arr_10000/arr_53.txt-4,      	93295540	19367790	73927750	20.75960973
arr_10000/arr_54.txt-4,      	92350690	18458230	73892460	19.98710567
arr_10000/arr_55.txt-4,      	94784880	18417920	76366960	19.43128482
arr_10000/arr_56.txt-4,      	92542590	19966850	72575740	21.57584956
arr_10000/arr_57.txt-4,      	92138690	20823270	71315420	22.59991975
arr_10000/arr_58.txt-4,      	94957640	18396200	76561440	19.3730594
arr_10000/arr_59.txt-4,      	96913030	18418830	78494200	19.00552485
arr_10000/arr_60.txt-4,      	99534950	18331550	81203400	18.41719918
arr_10000/arr_61.txt-4,      	91399450	18430510	72968940	20.16479311
arr_10000/arr_62.txt-4,      	99008940	18837760	80171180	19.02632227
arr_10000/arr_63.txt-4,      	93199430	18385030	74814400	19.72654768
arr_10000/arr_64.txt-4,      	94253750	18511340	75742410	19.63989762
arr_10000/arr_65.txt-4,      	95282750	18421740	76861010	19.33376188
arr_10000/arr_66.txt-4,      	91264790	19133380	72131410	20.96468967
arr_10000/arr_67.txt-4,      	91256220	18954420	72301800	20.77055131
arr_10000/arr_68.txt-4,      	91636060	18350320	73285740	20.02521715
arr_10000/arr_69.txt-4,      	91313990	18435040	72878950	20.18862608
arr_10000/arr_70.txt-4,      	92784930	19327010	73457920	20.82990201
arr_10000/arr_71.txt-4,      	93189390	18528070	74661320	19.88216684
arr_10000/arr_72.txt-4,      	93132980	18671780	74461200	20.04851557
arr_10000/arr_73.txt-4,      	127454170	18562430	108891740	14.56400367
arr_10000/arr_74.txt-4,      	179365680	18288930	161076750	10.19644895
arr_10000/arr_75.txt-4,      	144465400	18498050	125967350	12.80448467
arr_10000/arr_76.txt-4,      	93648520	18515130	75133390	19.77087305
arr_10000/arr_77.txt-4,      	104266620	18422640	85843980	17.66878029
arr_10000/arr_78.txt-4,      	97227160	18540360	78686800	19.06911608
arr_10000/arr_79.txt-4,      	92255420	18479530	73775890	20.03083396
arr_10000/arr_80.txt-4,      	92589930	19615500	72974430	21.18534921
arr_10000/arr_81.txt-4,      	92852770	18572740	74280030	20.00235426
arr_10000/arr_82.txt-4,      	91605500	18482770	73122730	20.17648504
arr_10000/arr_83.txt-4,      	91056460	19276820	71779640	21.17018386
arr_10000/arr_84.txt-4,      	91094920	18292520	72802400	20.08072459
arr_10000/arr_85.txt-4,      	90983500	18806010	72177490	20.66969286
arr_10000/arr_86.txt-4,      	90997420	18541210	72456210	20.37553372
arr_10000/arr_87.txt-4,      	90927460	18869790	72057670	20.75257573
arr_10000/arr_88.txt-4,      	91223710	18384930	72838780	20.15367496
arr_10000/arr_89.txt-4,      	91122160	18406470	72715690	20.19977358
arr_10000/arr_90.txt-4,      	91192600	18595090	72597510	20.3910076
arr_10000/arr_91.txt-4,      	91067730	19471460	71596270	21.381295
arr_10000/arr_92.txt-4,      	90970610	19184420	71786190	21.08859114
arr_10000/arr_93.txt-4,      	91027530	19913120	71114410	21.87593138
arr_10000/arr_94.txt-4,      	92391050	18844460	73546590	20.39641286
arr_10000/arr_95.txt-4,      	94637010	18649910	75987100	19.70678279
arr_10000/arr_96.txt-4,      	90961450	20035900	70925550	22.02680366
arr_10000/arr_97.txt-4,      	91506110	18701180	72804930	20.43708338
arr_10000/arr_98.txt-4,      	91016300	18745530	72270770	20.59579438
arr_10000/arr_99.txt-4,      	90910730	19348720	71562010	21.28320826
AVG				95574659.6	18984218.8	76590440.8	20.07959217
